Date_time,id,Azure_time,pelvisx,pelvisy,pelvisz,Pitch_pelvis_orientation,Yaw_pelvis_orientation,Roll_pelvis_orientation,navalx,navaly,navalz,Pitch_naval_orientation,Yaw_naval_orientation,Roll_naval_orientation,chestx,chesty,chestz,Pitch_chest_orientation,Yaw_chest_orientation,Roll_chest_orientation,neckx,necky,neckz,Pitch_neck_orientation,Yaw_neck_orientation,Roll_neck_orientation,clavicle_leftx,clavicle_lefty,clavicle_leftz,Pitch_clavicle_left_orientation,Yaw_clavicle_left_orientation,Roll_clavicle_left_orientation,shoulder_leftx,shoulder_lefty,shoulder_leftz,Pitch_shoulder_left_orientation,Yaw_shoulder_left_orientation,Roll_shoulder_left_orientation,elbow_leftx,elbow_lefty,elbow_leftz,Pitch_elbow_left_orientation,Yaw_elbow_left_orientation,Roll_elbow_left_orientation,wrist_leftx,wrist_lefty,wrist_leftz,Pitch_wrist_left_orientation,Yaw_wrist_left_orientation,Roll_wrist_left_orientation,hand_leftx,hand_lefty,hand_leftz,Pitch_hand_left_orientation,Yaw_hand_left_orientation,Roll_hand_left_orientation,handtip_leftx,handtip_lefty,handtip_leftz,Pitch_handtip_left_orientation,Yaw_handtip_left_orientation,Roll_handtip_left_orientation,thumb_leftx,thumb_lefty,thumb_leftz,Pitch_thumb_left_orientation,Yaw_thumb_left_orientation,Roll_thumb_left_orientation,clavicle_rightx,clavicle_righty,clavicle_rightz,Pitch_clavicle_right_orientation,Yaw_clavicle_right_orientation,Roll_clavicle_right_orientation,shoulder_rightx,shoulder_righty,shoulder_rightz,Pitch_shoulder_right_orientation,Yaw_shoulder_right_orientation,Roll_shoulder_right_orientation,elbow_rightx,elbow_righty,elbow_rightz,Pitch_elbow_right_orientation,Yaw_elbow_right_orientation,Roll_elbow_right_orientation,wrist_rightx,wrist_righty,wrist_rightz,Pitch_wrist_right_orientation,Yaw_wrist_right_orientation,Roll_wrist_right_orientation,hand_rightx,hand_righty,hand_rightz,Pitch_hand_right_orientation,Yaw_hand_right_orientation,Roll_hand_right_orientation,handtip_rightx,handtip_righty,handtip_rightz,Pitch_handtip_right_orientation,Yaw_handtip_right_orientation,Roll_handtip_right_orientation,thumb_rightx,thumb_righty,thumb_rightz,Pitch_thumb_right_orientation,Yaw_thumb_right_orientation,Roll_thumb_right_orientation,hip_leftx,hip_lefty,hip_leftz,Pitch_hip_left_orientation,Yaw_hip_left_orientation,Roll_hip_left_orientation,knee_leftx,knee_lefty,knee_leftz,Pitch_knee_left_orientation,Yaw_knee_left_orientation,Roll_knee_left_orientation,ankle_leftx,ankle_lefty,ankle_leftz,Pitch_ankle_left_orientation,Yaw_ankle_left_orientation,Roll_ankle_left_orientation,foot_leftx,foot_lefty,foot_leftz,Pitch_foot_left_orientation,Yaw_foot_left_orientation,Roll_foot_left_orientation,hip_rightx,hip_righty,hip_rightz,Pitch_hip_right_orientation,Yaw_hip_right_orientation,Roll_hip_right_orientation,knee_rightx,knee_righty,knee_rightz,Pitch_knee_right_orientation,Yaw_knee_right_orientation,Roll_knee_right_orientation,ankle_rightx,ankle_righty,ankle_rightz,Pitch_ankle_right_orientation,Yaw_ankle_right_orientation,Roll_ankle_right_orientation,foot_rightx,foot_righty,foot_rightz,Pitch_foot_right_orientation,Yaw_foot_right_orientation,Roll_foot_right_orientation,headx,heady,headz,Pitch_head_orientation,Yaw_head_orientation,Roll_head_orientation,nosex,nosey,nosez,Pitch_nose_orientation,Yaw_nose_orientation,Roll_nose_orientation,eye_leftx,eye_lefty,eye_leftz,Pitch_eye_left_orientation,Yaw_eye_left_orientation,Roll_eye_left_orientation,ear_leftx,ear_lefty,ear_leftz,Pitch_ear_left_orientation,Yaw_ear_left_orientation,Roll_ear_left_orientation,eye_rightx,eye_righty,eye_rightz,Pitch_eye_right_orientation,Yaw_eye_right_orientation,Roll_eye_right_orientation,ear_rightx,ear_righty,ear_rightz,Pitch_ear_right_orientation,Yaw_ear_right_orientation,Roll_ear_right_orientation
2020-04-17_00-28-26,1,1390988,-269.966827,491.695648,-4959.336426,273.203102,193.731783,91.919943,121.797714,-377.758331,2175.685547,273.115781,176.985247,90.994803,124.181755,-515.033142,2168.461182,271.854230,169.636270,88.966089,120.493523,-721.026306,2131.704346,271.935692,160.441921,88.651557,153.595810,-687.847717,2137.688232,253.556084,174.517815,202.757497,280.086395,-634.786377,2124.523438,229.750630,168.912187,249.703129,370.765045,-389.609100,2073.294922,221.478232,147.811612,271.528486,365.717926,-200.463867,1954.194946,301.542373,131.512584,266.178438,369.585968,-145.765915,1879.301147,291.049676,195.132989,296.600861,324.563599,-55.861725,1906.493042,291.049676,195.132989,296.600861,317.686890,-92.648285,1878.588257,207.495516,151.790689,275.477985,88.775452,-686.489258,2139.855469,75.010069,187.534723,153.611810,-23.804993,-630.632812,2123.232422,30.092426,161.675378,113.564473,-126.811386,-394.461578,2208.567139,34.568829,175.904934,90.999985,-130.752609,-168.667847,2224.735352,141.438020,204.686761,70.537000,-103.739845,-85.902023,2175.656006,146.173574,211.214079,80.603828,-89.444695,0.483803,2122.598145,146.173574,211.214079,80.603828,-87.338287,-68.719589,2219.812744,70.424389,162.928238,94.009349,203.827148,-209.642944,2127.630859,255.775722,224.732989,82.814811,238.116196,62.348484,1856.030029,257.733887,145.206009,100.008076,185.481918,360.606201,2066.480713,260.264715,167.932483,95.278272,197.312195,498.571808,1950.562866,130.997331,105.584975,233.146787,36.953754,-213.018509,2136.703613,66.713860,140.407760,282.062550,-25.125135,77.480164,1891.024170,68.786460,212.704145,254.869686,56.730251,380.212952,2092.386230,63.159131,181.681621,271.371110,-6.326329,481.482971,1976.741943,357.255153,242.465367,179.151973,118.747421,-795.204956,2105.344238,264.099849,135.635494,109.518816,106.001595,-728.784851,1965.992432,264.099849,135.635494,109.518816,141.854614,-768.794128,1970.984009,95.999825,134.673972,281.111543,208.119141,-815.035950,2062.657715,95.900151,224.364506,289.518830,92.135124,-776.630066,1968.407715,95.999825,134.673972,281.111543,54.031925,-857.585571,2057.545654,264.099849,135.635494,109.518816
2020-04-17_00-28-26,1,1457644,-273.428986,497.297821,-5093.955566,275.721940,193.842715,92.634546,122.876221,-378.167633,2183.628418,275.577234,174.913724,90.765227,124.740509,-517.703064,2171.214111,271.267366,168.736733,88.793600,120.353722,-726.985901,2130.467773,271.326645,159.539727,88.577376,154.183640,-693.444519,2137.437256,252.936069,173.978640,203.116532,282.615601,-638.619812,2122.707520,237.391832,170.502808,251.446543,367.802673,-384.809906,2077.919434,229.779196,145.396362,271.074280,364.286926,-197.319214,1948.537964,290.802883,134.805314,269.894605,362.982971,-137.069183,1875.635254,286.452291,207.908801,292.850256,326.560211,-50.635212,1925.315552,286.452291,207.908801,292.850256,309.918823,-86.581055,1875.433472,200.260620,149.916072,278.370686,88.119156,-691.763550,2138.984619,73.798148,189.485013,153.104897,-25.513054,-634.126831,2117.697266,37.210667,161.408445,113.161522,-128.621933,-393.108917,2205.876465,40.883499,176.791180,94.085024,-145.031189,-163.345810,2218.790283,90.056321,220.271684,68.645764,-113.605042,-97.305702,2147.916504,90.047088,204.145217,68.628618,-78.912865,-8.651421,2105.240967,90.047088,204.145217,68.628618,-83.518921,-49.245037,2252.450684,339.659732,165.079596,88.422986,203.949921,-206.877625,2130.531494,254.873841,228.177630,81.812992,241.291519,52.671791,1837.482666,257.445510,143.137016,100.816743,184.863403,348.009674,2062.936035,259.579742,164.558349,95.985002,196.209167,495.509094,1953.490845,125.433557,108.613725,239.010665,34.459511,-210.609116,2147.020264,64.129710,136.616602,284.533637,-37.183434,65.744446,1877.203491,67.732035,213.236039,253.452483,53.285652,370.235565,2085.351318,63.545726,181.695318,270.216353,-8.060143,474.748138,1967.119629,357.192275,242.850949,177.929980,118.487274,-802.140076,2102.419434,271.166775,128.000087,92.116199,107.241089,-715.987915,1970.642334,271.166775,128.000087,92.116199,134.476776,-763.623718,1967.196899,89.088553,142.009211,273.596726,198.661438,-834.770386,2046.726685,88.833225,231.999913,272.116183,83.259460,-760.784485,1969.703003,89.088553,142.009211,273.596726,36.205780,-844.414429,2055.466797,271.166775,128.000087,92.116199
2020-04-17_00-28-26,1,1590966,-266.712524,459.289093,-4885.847656,269.957459,194.571817,91.068861,120.014107,-373.018250,2187.216309,269.958644,174.555342,91.083480,122.697548,-514.904968,2173.696533,269.458086,166.149955,89.410762,120.519707,-725.803406,2122.665283,269.428187,156.951032,89.504927,154.545181,-691.915283,2132.355225,250.872090,174.776708,201.277358,287.133087,-640.281799,2119.347900,235.412241,169.980739,250.984112,375.755951,-383.134277,2071.294189,227.493639,145.826456,271.383575,371.124969,-191.396729,1941.081055,279.941230,143.642777,273.993687,363.033875,-119.559464,1877.544556,280.309218,219.024006,286.459256,339.261261,-39.094582,1945.546143,280.309218,219.024006,286.459256,300.648712,-76.967598,1882.909302,190.330551,153.126228,287.507326,87.299294,-690.491943,2131.879395,70.410307,188.385063,156.146814,-31.632385,-637.904907,2112.711426,33.745737,163.080109,113.238650,-137.866592,-390.503082,2194.616699,37.251327,178.029081,92.288566,-147.235321,-156.075180,2202.690674,92.574169,219.616747,81.333654,-131.007706,-82.780312,2131.252930,92.356013,212.689179,80.964536,-116.976784,5.453817,2073.919678,92.356013,212.689179,80.964536,-89.135178,-31.906887,2236.020996,346.454240,164.121709,88.339445,207.929153,-199.433304,2139.872803,248.991590,233.653716,77.739189,258.289581,32.302128,1817.585815,254.415137,142.228922,104.626493,181.959747,324.782501,2051.811279,252.802933,156.239908,99.752326,198.322998,490.867981,1966.909058,125.226439,119.094286,240.686437,34.642899,-202.698715,2139.748047,58.957719,127.446962,293.176453,-61.004883,20.717815,1822.417847,67.070855,216.456524,253.519462,27.167446,318.754547,2052.037354,62.589835,206.441789,258.900064,-7.463509,475.028625,1988.337402,313.844382,232.520159,129.579099,119.870560,-800.928589,2090.699463,268.732096,129.647959,102.198319,100.360924,-718.903687,1954.002075,268.732096,129.647959,102.198319,134.770386,-762.991577,1952.600952,91.050473,140.363664,280.551841,207.093292,-823.444641,2037.275024,91.267904,230.352041,282.198308,82.718483,-767.510742,1953.604126,91.050473,140.363664,280.551841,44.658424,-856.537842,2041.778809,268.732096,129.647959,102.198319
2020-04-17_00-28-26,1,1657655,-260.966919,452.104584,-4858.248047,268.658728,195.099355,90.669426,116.712852,-369.779419,2185.573486,268.702718,176.559289,91.096732,119.428345,-511.631500,2177.049561,269.657945,165.116918,89.004714,115.786522,-720.935547,2122.385986,269.637900,155.917743,89.064616,149.951614,-687.538391,2132.548096,249.544066,174.155368,199.120728,283.851074,-641.117310,2118.041260,232.974241,169.252114,249.331098,379.348694,-387.975037,2066.685059,223.973178,145.291881,271.872625,373.139709,-198.068771,1935.077515,273.560818,146.757669,279.219159,357.119202,-124.116486,1876.062622,273.831080,218.973436,283.584658,337.455994,-42.743229,1943.789673,273.831080,218.973436,283.584658,302.197693,-76.363258,1896.954834,186.248832,162.056435,285.467625,82.913223,-685.695679,2132.312988,69.374284,188.337023,156.559790,-36.056927,-634.113525,2113.310547,35.602522,165.493864,113.096228,-142.619812,-384.234894,2183.595703,38.018286,182.344097,90.819609,-145.965134,-150.393661,2174.022461,58.568339,204.472170,85.976074,-131.319550,-58.830917,2128.445312,51.024974,221.009132,72.219975,-106.930222,17.224051,2058.993408,51.024974,221.009132,72.219975,-82.229790,-26.380413,2223.824951,334.520327,169.937531,69.657824,205.606400,-197.226913,2138.782715,246.472994,235.077443,75.099212,264.335266,23.480505,1811.671265,253.366201,142.934031,104.956723,185.815399,317.408661,2041.478882,253.237781,152.578550,101.585830,194.715378,488.348358,1966.951904,120.273876,121.791770,246.979507,32.872356,-200.298904,2134.877441,54.573288,125.776249,297.134249,-73.386597,7.043794,1811.553711,65.489859,215.273457,252.385650,21.798677,306.845428,2034.048340,59.432816,213.736193,252.542489,-0.133429,472.111450,1992.699097,308.123553,225.685643,120.474245,114.573257,-795.244934,2089.168945,271.246498,132.612803,88.266081,108.513496,-718.305359,1948.860474,271.246498,132.612803,88.266081,132.885544,-768.475708,1949.317871,88.853506,137.399663,269.959599,193.365158,-838.078857,2035.677002,88.753492,227.387197,268.266076,81.236053,-761.976868,1951.515137,88.853506,137.399663,269.959599,28.293461,-836.218567,2044.967407,271.246498,132.612803,88.266081
2020-04-17_00-28-26,1,1724300,-261.328094,453.249390,-4861.047363,268.664903,195.157709,90.679504,116.833527,-370.167786,2185.718994,268.709260,176.729800,91.102302,119.564140,-512.089172,2177.614990,269.577842,165.332823,88.964761,115.770164,-721.661255,2123.723389,269.553427,156.133731,89.038545,149.968246,-688.251282,2133.805908,249.770209,174.224217,198.948779,284.065186,-642.212097,2119.465088,233.154400,169.153603,249.102272,380.571808,-389.456207,2067.627197,224.106019,145.104900,271.625663,375.191925,-199.895416,1935.358643,273.264557,146.728983,279.293370,359.033051,-125.965225,1876.304565,273.803129,224.125227,283.735515,340.674164,-50.856411,1951.298828,273.803129,224.125227,283.735515,303.917938,-77.930717,1898.236328,185.773934,162.526309,285.623337,82.911018,-686.338379,2133.477783,69.553260,188.465646,156.482014,-35.987118,-634.595581,2114.177979,35.685312,165.584771,112.891239,-141.731979,-384.155731,2184.053955,38.045849,182.672045,90.364007,-143.217865,-150.280014,2173.138916,56.683841,205.717387,82.881574,-123.654816,-60.513428,2125.794434,48.417082,221.789999,68.204541,-94.344513,12.784377,2055.238037,48.417082,221.789999,68.204541,-72.114784,-29.084042,2218.246338,332.437975,172.771736,65.288870,205.725311,-197.595428,2138.729004,246.493158,235.214594,75.118384,264.197632,22.443712,1810.968384,253.487120,143.150576,104.862084,185.916428,317.431702,2039.696655,253.377652,152.821748,101.516773,194.738251,488.080414,1964.350220,120.342107,121.521022,246.916525,32.936783,-200.697922,2134.841797,54.635513,125.690370,297.137916,-73.147820,6.271780,1811.066772,65.574856,215.302104,252.465115,21.617979,306.193726,2033.788940,59.069734,213.880639,252.490045,-0.927569,471.617310,1993.180786,308.257819,225.364653,120.719643,114.520622,-796.118286,2090.776367,270.173160,133.821076,91.559388,106.964500,-722.433777,1948.746338,270.173160,133.821076,91.559388,133.504425,-771.479919,1950.577393,89.833824,136.179175,271.799383,195.835648,-836.565796,2039.171753,89.826840,226.178924,271.559397,81.579430,-767.211121,1951.998535,89.833824,136.179175,271.799383,30.679453,-841.769348,2046.386719,270.173160,133.821076,91.559388
2020-04-17_00-28-26,1,1857633,-261.141327,453.400085,-4860.517578,268.662715,195.199105,90.721197,116.879944,-370.255585,2185.699951,268.707395,176.734490,91.145508,119.718391,-512.218262,2177.604980,269.580831,165.308118,89.079276,116.342690,-721.837219,2123.606934,269.556554,156.109033,89.152543,150.484192,-688.352783,2133.705322,249.746775,174.229288,199.074790,284.521057,-642.004456,2119.372559,233.141282,169.206466,249.237577,380.476257,-388.900635,2067.768799,224.133200,145.182418,271.722878,374.767639,-199.113525,1935.717163,273.114112,146.905281,279.396539,358.419678,-125.009064,1876.886841,273.722533,225.493677,283.754745,340.461273,-51.645397,1953.729370,273.722533,225.493677,283.754745,303.304871,-76.942337,1899.404785,185.607415,162.884562,285.674786,83.403069,-686.574097,2133.380615,69.521536,188.403808,156.727056,-35.770191,-635.316711,2114.215088,35.504303,165.434219,113.376380,-143.590988,-385.875671,2184.826660,37.957136,182.166938,91.182709,-148.421707,-151.887634,2175.970947,57.211349,205.196448,85.494001,-132.962311,-60.900150,2129.377686,49.225055,221.383252,71.140787,-107.276169,14.297544,2059.362061,49.225055,221.383252,71.140787,-87.638580,-26.044525,2225.316406,332.977983,170.325483,71.178035,205.673279,-197.599747,2138.575195,246.460420,235.248286,75.122610,264.097412,22.323593,1810.582275,253.492735,143.211567,104.884528,185.614563,317.604767,2039.054199,253.208445,152.588960,101.631928,194.458664,488.648529,1964.470459,120.325773,121.798025,246.967982,32.835312,-200.833450,2134.680908,54.495199,125.570968,297.322236,-73.636642,5.255982,1810.324585,65.644462,215.040885,252.619529,20.651169,306.488678,2031.677002,59.651583,212.993030,253.114984,-2.629858,471.111938,1988.119873,308.744099,226.317986,121.372842,115.241180,-796.304749,2090.617920,270.260844,133.783864,91.565876,107.439995,-722.519409,1948.598999,270.260844,133.783864,91.565876,134.049561,-771.549011,1950.371460,89.749994,136.216717,271.927183,196.574203,-836.633362,2038.885132,89.739146,226.216136,271.565846,82.105354,-767.343079,1951.851685,89.749994,136.216717,271.927183,31.382643,-842.044250,2046.276855,270.260844,133.783864,91.565876
2020-04-17_00-28-26,1,1924322,-261.768555,454.167511,-4860.458008,268.682218,195.161412,90.700492,117.094696,-370.900818,2185.570801,268.725940,176.668582,91.119259,119.872528,-513.089050,2177.298828,269.806918,165.255376,89.032708,116.325119,-723.000671,2123.018555,269.795701,156.056075,89.066466,150.554749,-689.464417,2133.036621,249.629218,173.921026,199.254727,284.590973,-642.644409,2117.916016,232.963371,168.760810,249.674720,378.624664,-388.782593,2064.120117,223.469455,144.491408,272.804832,369.396881,-200.431854,1929.567017,274.720476,144.099092,280.626238,352.213348,-129.520966,1866.905273,274.899516,218.693602,286.465883,328.337311,-48.740177,1934.375122,274.899516,218.693602,286.465883,295.836273,-82.793419,1883.631714,187.277748,158.872775,286.816979,83.362083,-687.695435,2132.968262,69.579046,187.945425,156.739712,-36.156013,-636.320984,2114.811523,35.686767,164.299862,113.355326,-143.486298,-387.763947,2190.913818,38.547337,181.223354,91.175689,-148.298569,-153.275711,2185.905518,55.059844,207.185671,81.962237,-127.336220,-64.797943,2136.345703,46.042089,222.781922,66.442690,-96.218620,6.572343,2064.293213,46.042089,222.781922,66.442690,-78.859566,-30.544699,2231.366699,330.746310,172.402806,66.066764,206.096252,-197.969879,2138.451660,246.610689,235.146165,75.102293,264.845123,22.860422,1810.325195,253.523702,143.085299,104.721098,187.205460,318.362427,2039.847412,252.342639,151.656237,101.704645,197.776276,490.993622,1968.442627,120.499726,123.000923,246.488970,32.970905,-201.128479,2134.607178,54.671764,125.542550,297.226347,-73.256943,5.335286,1809.601318,65.765437,215.069762,252.745236,20.490698,307.163879,2031.477417,59.259709,213.036954,253.173769,-3.840690,472.048950,1988.369385,309.011323,226.042905,121.837944,115.110207,-797.558472,2089.906250,273.943609,135.855097,90.029807,99.536789,-729.141113,1945.560669,273.943609,135.855097,90.029807,127.200439,-777.665039,1947.914307,85.946889,134.284505,275.682567,194.970963,-838.381653,2035.966919,86.056392,224.144903,270.029802,75.215347,-774.335022,1951.588867,85.946889,134.284505,275.682567,30.137774,-846.493103,2051.020264,273.943609,135.855097,90.029807
2020-04-17_00-28-26,1,1990977,-257.367279,451.467438,-4856.076172,268.458361,195.394480,90.799795,115.564079,-369.942230,2186.618164,268.511535,176.926769,91.288961,118.768044,-512.346619,2178.977051,269.338119,164.843887,89.405804,116.581192,-722.160217,2123.115967,269.298729,155.645179,89.521961,150.626053,-688.501770,2133.658691,249.311959,174.054391,199.108683,284.992554,-641.950439,2118.849121,233.052756,167.985590,249.823328,378.231812,-388.215027,2061.318848,224.213175,145.109626,271.378356,373.654999,-197.999908,1928.632080,275.694407,143.599885,281.407564,355.732605,-127.784462,1865.202637,275.664740,215.992271,288.130111,328.524078,-44.687794,1928.711914,275.664740,215.992271,288.130111,298.368195,-78.167297,1890.257812,186.512574,163.635726,286.887822,83.339531,-687.024231,2133.063477,68.897794,189.454135,156.878312,-35.979851,-636.076843,2111.458984,34.068360,164.427832,112.909009,-141.576828,-386.203461,2187.057129,37.052469,179.001569,92.579352,-152.146576,-151.574036,2191.150146,54.274103,211.876116,83.658401,-134.226654,-66.674515,2134.375244,43.480700,226.893252,66.865232,-105.706680,0.077344,2056.822998,43.480700,226.893252,66.865232,-85.350273,-23.328602,2221.304932,328.384489,179.760552,67.167579,204.386566,-196.725830,2139.080566,246.245699,235.338825,74.484703,265.297729,22.685320,1809.750122,253.383644,143.202074,104.523922,188.456146,319.298859,2038.953491,251.586169,149.617732,102.285640,198.666275,494.736084,1973.971802,119.379469,125.049708,247.627578,31.056366,-200.384232,2134.582275,55.088519,125.103127,296.837062,-72.775948,4.838660,1807.370728,66.289980,215.117795,252.926582,20.084620,307.186066,2029.807373,56.640912,214.782481,251.756027,-5.471012,473.869232,1994.031128,309.134285,223.256921,121.967967,115.960220,-796.584839,2089.425049,272.956562,134.911264,85.981041,108.025108,-724.790222,1945.862305,272.956562,134.911264,85.981041,131.585297,-775.535156,1947.751099,87.056491,135.164712,270.152114,193.000214,-843.098816,2035.720581,87.043438,225.088736,265.981046,79.939201,-767.961365,1950.852173,87.056491,135.164712,270.152114,27.652550,-837.765320,2048.650146,272.956562,134.911264,85.981041
2020-04-17_00-28-26,1,2057655,-259.388245,454.038513,-4876.063965,268.842519,195.186287,90.713035,115.880280,-370.898651,2188.533447,268.881195,176.795902,91.078823,118.565300,-513.487671,2180.556396,270.298259,164.498274,88.576676,113.359840,-723.189209,2123.354004,270.316340,155.299050,88.524202,147.953598,-689.895996,2133.571045,248.784597,174.213570,198.983983,282.640503,-643.561707,2119.137207,232.250406,168.700106,249.057074,379.643921,-390.104828,2064.909668,222.771521,144.868351,272.314268,371.973022,-200.294693,1931.243164,273.957251,144.257434,281.387620,353.655151,-129.250732,1868.657715,274.208380,220.244856,286.423346,330.301819,-50.022236,1938.569946,274.208380,220.244856,286.423346,298.549622,-78.687790,1894.512451,185.453891,163.866289,285.818512,80.593979,-687.739685,2134.068115,68.987756,187.740523,156.457413,-39.047813,-635.612183,2116.329102,35.681992,164.606560,113.108143,-145.748062,-385.555481,2191.181152,38.257636,184.198110,87.517352,-135.586456,-151.187546,2173.961914,40.150322,215.991587,87.570365,-123.231667,-68.206833,2112.781982,29.760400,224.569305,71.605114,-99.319412,3.697418,2038.136719,29.760400,224.569305,71.605114,-74.752754,-26.970663,2216.998291,314.656537,172.762021,59.797268,205.081436,-197.572678,2140.966797,245.692549,235.489968,74.126083,267.210358,20.910353,1810.592896,253.167288,143.608540,104.721352,188.830490,319.223572,2037.922363,252.253749,150.882405,102.149364,198.108765,493.337341,1968.654907,119.809437,123.679880,247.467656,31.481169,-200.652252,2137.581299,54.761791,125.075651,297.092541,-73.334511,4.241437,1809.818970,66.126480,215.038695,252.795021,20.436897,307.074921,2032.117310,57.531608,213.925357,252.336245,-5.094223,473.266968,1993.069824,309.390491,224.370998,122.222939,111.445702,-797.486816,2089.167969,270.118053,138.605718,87.967599,108.222282,-735.285339,1940.783813,270.118053,138.605718,87.967599,131.721039,-785.819580,1946.804077,89.866069,131.394414,268.146136,190.286011,-847.383423,2041.136475,89.881947,221.394282,267.967617,79.934448,-778.139282,1947.713501,89.866069,131.394414,268.146136,24.383440,-841.493835,2048.299316,270.118053,138.605718,87.967599
2020-04-17_00-28-26,1,2124288,-255.781357,453.605591,-4852.372070,269.006932,194.815777,90.946884,115.573441,-372.976929,2187.661377,269.038596,176.965414,91.251756,118.707321,-516.404968,2180.062500,269.466961,163.940749,89.648942,117.409309,-726.810547,2120.479004,269.433600,154.741821,89.743171,151.554901,-692.917236,2131.562256,248.625068,175.446213,200.357532,286.126526,-642.984009,2120.130127,236.478895,169.523993,250.348081,378.177002,-385.215759,2069.519287,229.979435,147.613823,267.697037,386.104614,-188.091019,1944.385742,272.161737,140.083020,281.317442,368.444458,-121.267059,1876.339600,272.194040,220.914726,284.142332,348.348541,-41.511284,1947.622559,272.194040,220.914726,284.142332,310.940125,-69.537216,1897.918457,183.049389,159.129745,287.481411,83.780624,-691.749451,2131.121582,68.215102,187.960366,156.988554,-36.970108,-640.465393,2112.776611,31.820031,164.931505,113.765901,-147.337967,-389.824249,2186.509277,34.846913,181.232253,89.264635,-144.302353,-153.318771,2181.421631,24.115799,218.361160,77.908790,-118.481590,-74.141197,2118.408203,16.898614,221.584714,66.699984,-86.829979,-0.647098,2047.401245,16.898614,221.584714,66.699984,-71.352966,-41.898853,2221.496338,294.085842,174.727829,44.270029,204.571671,-198.045471,2140.685791,245.490687,235.875818,73.989477,266.965057,19.395605,1806.869995,253.106796,143.177598,104.987233,187.187546,317.395508,2037.841064,251.397980,150.671094,102.287129,198.202133,492.905914,1969.409912,120.682423,124.283504,246.463711,29.969528,-201.705444,2137.759277,54.402451,125.214160,297.294603,-76.543633,4.707828,1808.661743,65.576064,215.777437,252.097128,20.578712,305.353149,2036.338379,55.788662,214.958692,251.261434,-5.512249,473.469086,2001.721680,309.554505,222.604759,122.246890,117.075752,-801.223999,2085.370117,276.207402,136.425475,87.329891,98.540756,-733.242371,1939.655762,276.207402,136.425475,87.329891,125.530975,-782.698914,1941.698730,83.516354,133.926469,276.296768,195.191132,-844.473755,2029.088013,83.792599,223.574521,267.329892,73.309570,-778.266357,1946.870605,83.516354,133.926469,276.296768,29.338322,-849.212158,2049.096924,276.207402,136.425475,87.329891
2020-04-17_00-28-26,1,2190988,-255.610855,454.939484,-4848.847168,268.956602,194.837194,90.994714,115.736031,-373.698029,2187.992920,268.990167,177.181544,91.311602,119.020012,-517.135620,2180.935791,269.229748,164.293242,89.992947,118.981354,-727.886169,2122.654053,269.182478,155.094769,90.128719,152.914017,-693.762451,2133.661133,249.046991,175.575369,200.659516,287.230621,-643.116821,2122.553467,236.846100,169.515995,250.811209,377.182953,-384.646088,2071.909912,230.223939,147.195858,268.308112,382.980011,-188.385849,1945.353638,271.138989,140.107759,282.912485,363.314026,-122.041275,1877.402832,271.553068,235.755651,284.926963,347.539246,-62.867447,1967.365479,271.553068,235.755651,284.926963,305.864502,-70.223717,1901.200928,182.090358,160.141291,288.198067,85.144119,-692.928467,2132.945801,68.354649,188.827974,157.735882,-35.981827,-643.339783,2112.618408,32.123981,168.215027,114.705110,-152.008469,-391.139038,2170.538330,33.762988,184.259278,90.346817,-153.436386,-155.241241,2152.969482,22.495273,223.367001,78.701458,-129.880920,-81.247047,2083.153809,12.800075,226.466981,65.008207,-98.752441,-14.466845,2005.601929,12.800075,226.466981,65.008207,-76.705482,-56.321426,2200.451904,285.187739,168.134706,34.411368,204.579895,-198.707184,2141.035156,245.434835,235.793758,73.928953,267.328796,19.104689,1807.577881,253.016806,143.107955,105.030641,187.406479,316.742126,2038.900146,250.747041,149.514980,102.737955,198.380142,493.710052,1974.381592,120.299375,125.551149,246.904057,30.002222,-202.552872,2137.960938,54.258955,125.137634,297.484106,-76.979095,3.095791,1808.587280,65.619932,215.515233,252.250062,19.647137,304.957581,2034.792480,56.294219,214.756622,251.436603,-5.905844,472.908630,1999.080811,309.410422,223.053949,122.035130,119.148994,-802.507324,2088.007568,276.627492,136.228986,87.119062,99.774841,-734.023071,1942.656616,276.627492,136.228986,87.119062,126.840355,-783.444031,1944.378662,83.130427,134.169234,276.653414,197.025803,-845.436523,2031.172485,83.372508,223.771014,267.119062,74.645493,-779.103821,1949.833862,83.130427,134.169234,276.653414,31.301546,-850.479004,2052.011475,276.627492,136.228986,87.119062
