Date_time,id,Azure_time,pelvisx,pelvisy,pelvisz,Pitch_pelvis_orientation,Yaw_pelvis_orientation,Roll_pelvis_orientation,navalx,navaly,navalz,Pitch_naval_orientation,Yaw_naval_orientation,Roll_naval_orientation,chestx,chesty,chestz,Pitch_chest_orientation,Yaw_chest_orientation,Roll_chest_orientation,neckx,necky,neckz,Pitch_neck_orientation,Yaw_neck_orientation,Roll_neck_orientation,clavicle_leftx,clavicle_lefty,clavicle_leftz,Pitch_clavicle_left_orientation,Yaw_clavicle_left_orientation,Roll_clavicle_left_orientation,shoulder_leftx,shoulder_lefty,shoulder_leftz,Pitch_shoulder_left_orientation,Yaw_shoulder_left_orientation,Roll_shoulder_left_orientation,elbow_leftx,elbow_lefty,elbow_leftz,Pitch_elbow_left_orientation,Yaw_elbow_left_orientation,Roll_elbow_left_orientation,wrist_leftx,wrist_lefty,wrist_leftz,Pitch_wrist_left_orientation,Yaw_wrist_left_orientation,Roll_wrist_left_orientation,hand_leftx,hand_lefty,hand_leftz,Pitch_hand_left_orientation,Yaw_hand_left_orientation,Roll_hand_left_orientation,handtip_leftx,handtip_lefty,handtip_leftz,Pitch_handtip_left_orientation,Yaw_handtip_left_orientation,Roll_handtip_left_orientation,thumb_leftx,thumb_lefty,thumb_leftz,Pitch_thumb_left_orientation,Yaw_thumb_left_orientation,Roll_thumb_left_orientation,clavicle_rightx,clavicle_righty,clavicle_rightz,Pitch_clavicle_right_orientation,Yaw_clavicle_right_orientation,Roll_clavicle_right_orientation,shoulder_rightx,shoulder_righty,shoulder_rightz,Pitch_shoulder_right_orientation,Yaw_shoulder_right_orientation,Roll_shoulder_right_orientation,elbow_rightx,elbow_righty,elbow_rightz,Pitch_elbow_right_orientation,Yaw_elbow_right_orientation,Roll_elbow_right_orientation,wrist_rightx,wrist_righty,wrist_rightz,Pitch_wrist_right_orientation,Yaw_wrist_right_orientation,Roll_wrist_right_orientation,hand_rightx,hand_righty,hand_rightz,Pitch_hand_right_orientation,Yaw_hand_right_orientation,Roll_hand_right_orientation,handtip_rightx,handtip_righty,handtip_rightz,Pitch_handtip_right_orientation,Yaw_handtip_right_orientation,Roll_handtip_right_orientation,thumb_rightx,thumb_righty,thumb_rightz,Pitch_thumb_right_orientation,Yaw_thumb_right_orientation,Roll_thumb_right_orientation,hip_leftx,hip_lefty,hip_leftz,Pitch_hip_left_orientation,Yaw_hip_left_orientation,Roll_hip_left_orientation,knee_leftx,knee_lefty,knee_leftz,Pitch_knee_left_orientation,Yaw_knee_left_orientation,Roll_knee_left_orientation,ankle_leftx,ankle_lefty,ankle_leftz,Pitch_ankle_left_orientation,Yaw_ankle_left_orientation,Roll_ankle_left_orientation,foot_leftx,foot_lefty,foot_leftz,Pitch_foot_left_orientation,Yaw_foot_left_orientation,Roll_foot_left_orientation,hip_rightx,hip_righty,hip_rightz,Pitch_hip_right_orientation,Yaw_hip_right_orientation,Roll_hip_right_orientation,knee_rightx,knee_righty,knee_rightz,Pitch_knee_right_orientation,Yaw_knee_right_orientation,Roll_knee_right_orientation,ankle_rightx,ankle_righty,ankle_rightz,Pitch_ankle_right_orientation,Yaw_ankle_right_orientation,Roll_ankle_right_orientation,foot_rightx,foot_righty,foot_rightz,Pitch_foot_right_orientation,Yaw_foot_right_orientation,Roll_foot_right_orientation,headx,heady,headz,Pitch_head_orientation,Yaw_head_orientation,Roll_head_orientation,nosex,nosey,nosez,Pitch_nose_orientation,Yaw_nose_orientation,Roll_nose_orientation,eye_leftx,eye_lefty,eye_leftz,Pitch_eye_left_orientation,Yaw_eye_left_orientation,Roll_eye_left_orientation,ear_leftx,ear_lefty,ear_leftz,Pitch_ear_left_orientation,Yaw_ear_left_orientation,Roll_ear_left_orientation,eye_rightx,eye_righty,eye_rightz,Pitch_eye_right_orientation,Yaw_eye_right_orientation,Roll_eye_right_orientation,ear_rightx,ear_righty,ear_rightz,Pitch_ear_right_orientation,Yaw_ear_right_orientation,Roll_ear_right_orientation
2020-04-16_22-52-44,1,1390966,391.238159,-94.863853,-5271.203613,262.543509,200.956733,82.221682,-176.450134,-118.875908,2148.205322,262.541769,200.991561,82.216788,-193.639847,-244.632187,2196.912598,257.003063,191.795552,81.148145,-224.983292,-444.582825,2240.070557,257.266417,182.826153,83.211146,-188.882248,-414.941345,2241.023682,277.792266,188.561113,184.292704,-54.517597,-404.855652,2261.308105,269.739055,153.157425,227.113932,105.427010,-232.650864,2142.369385,269.251272,108.118148,227.707707,151.690353,-181.794403,1932.251221,24.021419,127.840080,210.943596,203.504593,-160.567719,1859.523682,9.764136,124.650292,228.566340,242.257004,-116.663773,1774.794922,9.764136,124.650292,228.566340,204.795349,-97.920219,1870.328735,294.670035,176.604431,237.807768,-251.006485,-407.687500,2226.785156,92.467298,200.738567,160.169097,-361.286713,-367.916962,2182.396729,49.760523,186.254265,99.840494,-406.883270,-105.049309,2153.157959,15.811953,228.133881,35.928562,-285.894806,-17.376356,1986.434326,164.291118,202.808072,54.939343,-239.408478,57.717941,1942.086792,157.492246,196.148152,34.771035,-159.528305,113.176208,1913.930176,157.492246,196.148152,34.771035,-182.280182,33.458649,1986.003784,60.440750,152.624261,45.602479,-68.825233,29.857563,2095.595215,254.031043,235.780420,76.884861,-20.131470,238.856506,1780.057983,261.059715,174.203538,91.112072,-27.173176,601.611328,1816.889771,255.339757,173.126311,92.036819,4.564891,726.348450,1693.113403,156.601394,106.594929,204.460431,-232.245560,44.437305,2075.564209,90.552312,124.118898,261.414000,-200.324890,255.852402,1759.990479,90.321413,182.446660,261.877727,-148.305069,620.347229,1775.722534,92.809413,195.396942,262.790023,-126.153275,748.191711,1674.938232,262.056777,254.920400,74.549409,-234.176376,-521.806091,2243.909668,259.548624,176.290435,82.281067,-218.184814,-564.034058,2097.549316,259.548624,176.290435,82.281067,-205.800598,-600.180786,2134.785156,160.332509,101.083277,191.609161,-167.273529,-595.777954,2249.231934,100.451376,183.709581,262.281073,-252.747177,-588.255798,2123.060059,160.332509,101.083277,191.609161,-321.305267,-568.795044,2225.617676,259.548624,176.290435,82.281067
2020-04-16_22-52-44,1,1457655,394.631165,-116.627892,-5613.197754,259.263083,206.126756,79.644532,-173.697968,-106.364189,2152.673340,259.687056,200.883458,80.706432,-194.275192,-232.103500,2201.291504,254.861852,194.380265,81.708488,-223.474182,-430.834106,2253.687500,255.277894,185.490156,84.112291,-187.831192,-400.408508,2254.190430,281.388038,186.232326,188.095763,-53.308949,-381.273285,2269.028809,278.099467,153.753942,221.417149,124.408798,-224.499512,2152.181396,286.692788,116.099632,209.946134,208.946259,-175.797714,1953.028320,15.489967,157.143546,172.192251,290.695404,-195.319809,1915.438721,350.619508,154.164087,228.460150,352.360535,-125.717667,1870.414062,350.619508,154.164087,228.460150,307.101776,-128.770172,1867.628540,268.231048,159.384165,206.622689,-249.814285,-395.034363,2237.770752,94.773518,198.228534,162.090212,-363.460449,-358.306244,2198.437012,31.015674,201.036291,92.833502,-375.882233,-107.332352,2101.796631,1.758244,216.842660,36.602960,-231.602905,-0.169553,1967.137817,261.555625,215.206067,38.221013,-169.245697,56.603336,1915.022339,262.556348,202.152347,40.292595,-97.503571,117.429108,1876.729736,262.556348,202.152347,40.292595,-180.122879,58.542477,1868.666504,168.019372,216.857572,16.192843,-60.357174,34.758888,2089.922119,267.150697,237.853620,86.339755,-47.354786,238.015259,1765.824829,268.484731,174.964935,88.890086,-40.296070,602.355835,1797.931274,256.167746,172.426908,90.895736,-7.997722,728.363708,1674.787109,153.143159,106.131058,206.741740,-223.047272,50.660057,2062.189697,92.123291,123.382780,261.257036,-191.067413,258.606262,1742.906616,91.183382,184.625684,263.118608,-146.920059,624.416687,1772.718750,91.090615,190.148493,263.226816,-130.764175,743.587463,1660.034790,267.553696,260.308374,80.741597,-231.449387,-508.170776,2261.160156,260.268055,176.309538,76.759934,-221.326233,-551.493958,2114.099609,260.268055,176.309538,76.759934,-211.962341,-588.867371,2151.243896,159.114773,100.401854,187.330879,-171.664337,-588.449036,2265.561523,99.731945,183.690462,256.759954,-257.839325,-572.437866,2140.086426,159.114773,100.401854,187.330879,-323.166107,-546.706909,2243.838135,260.268055,176.309538,76.759934
2020-04-16_22-52-44,1,1524300,384.472290,-121.091599,-5528.201172,256.914250,205.926916,78.942607,-174.852844,-103.562370,2163.103516,257.578863,198.798710,80.685956,-195.730591,-230.851395,2207.018311,255.090069,192.847229,82.038303,-223.942673,-430.899139,2253.983887,255.436295,183.949217,84.401423,-188.475830,-400.351990,2255.308594,280.166079,183.262932,189.342309,-53.934200,-378.217957,2263.082031,274.367221,156.085005,219.505717,132.275848,-224.687119,2156.058594,278.133380,119.474062,214.186716,222.463104,-163.426468,1963.152588,347.240346,138.456789,187.000275,287.462067,-161.724442,1898.073608,320.958414,160.026742,235.306600,342.685577,-81.951958,1862.811646,320.958414,160.026742,235.306600,294.517487,-80.709396,1879.339722,235.807108,157.653768,218.049488,-250.434906,-394.839264,2239.052979,93.219964,197.737720,161.867297,-364.159576,-357.596466,2200.775391,26.727656,200.531706,93.149150,-377.998627,-106.062233,2106.429443,358.996425,213.222636,36.175203,-226.474518,4.735909,1983.488159,274.346233,214.985031,43.566279,-168.082321,66.570473,1932.711548,274.549115,218.479312,43.905356,-110.851479,121.655228,1869.574097,274.549115,218.479312,43.905356,-167.686386,61.650776,1900.590332,181.492533,211.732272,8.732710,-60.174175,37.890598,2104.121094,266.299724,239.037597,85.988600,-46.409153,234.177765,1776.155029,268.103500,179.575490,89.180942,-41.184250,599.649536,1778.863037,255.161904,180.604406,90.379140,-5.228605,706.503967,1639.859131,183.610291,105.516927,176.800114,-221.686386,52.743702,2070.388428,92.448895,122.834824,261.307422,-190.378113,257.521210,1749.372314,91.340221,182.390326,263.414353,-148.053299,624.128967,1764.777466,92.528356,190.398012,263.910202,-129.989273,743.504272,1652.800415,259.536339,259.897829,73.270071,-231.538116,-508.383209,2259.358887,267.924373,180.877659,99.569794,-222.606262,-559.020203,2114.709717,267.924373,180.877659,99.569794,-195.007797,-585.991394,2151.727539,202.926365,92.253509,166.659333,-144.995346,-558.696899,2258.601807,92.075627,179.122341,279.569811,-244.575058,-589.606140,2146.725342,202.926365,92.253509,166.659333,-301.982788,-580.595886,2257.592041,267.924373,180.877659,99.569794
2020-04-16_22-52-44,1,1657644,384.354706,-131.413635,-5463.089355,257.472294,204.389492,79.103299,-177.103745,-100.834381,2168.125977,258.128157,196.200432,80.989208,-197.588501,-230.004654,2206.129639,256.005104,192.798058,82.785929,-223.166626,-430.347015,2252.902588,256.327895,183.864406,85.006727,-187.991959,-399.482300,2253.774414,279.450211,181.299876,187.722462,-52.759544,-381.144196,2256.871094,259.273234,153.593289,224.592899,115.545570,-215.214005,2139.513184,249.410105,118.296173,238.080530,171.054581,-126.102554,1944.501465,69.016163,162.419633,196.737123,258.086243,-106.838005,1921.936279,29.651163,113.129890,248.370780,273.026031,-69.160583,1827.049316,29.651163,113.129890,248.370780,215.802780,-70.113701,1836.954468,280.558848,139.921674,256.272230,-250.212280,-394.516418,2238.493408,93.320609,196.985515,162.386193,-364.683075,-358.173767,2201.807861,24.958335,200.449217,93.346974,-379.391235,-106.675629,2107.870361,357.443153,211.752576,35.391077,-223.919754,3.775738,1989.842651,271.299110,209.538225,42.649267,-161.655273,67.830620,1947.157715,271.677479,227.637128,43.248352,-111.877548,114.654121,1872.219238,271.677479,227.637128,43.248352,-151.679245,58.067101,1925.779541,188.797962,199.771806,5.619827,-62.493496,41.998631,2112.747803,264.462543,240.009719,85.070666,-46.074242,232.375656,1781.651245,267.240730,178.497825,89.946829,-45.735229,597.591553,1791.228638,247.337228,174.415082,93.979190,0.847209,721.432922,1670.833008,166.941997,113.847068,195.807219,-224.024475,57.991108,2080.036133,93.980794,122.286393,260.248456,-189.475983,259.019592,1757.208740,92.141884,184.002594,263.758025,-149.433319,625.120667,1782.978271,95.323626,192.038538,264.865026,-126.696724,747.203308,1674.959106,248.432368,257.540806,62.787966,-229.940491,-507.877167,2258.159668,269.214981,174.397061,92.699652,-231.185516,-542.722961,2108.731689,269.214981,174.397061,92.699652,-206.022461,-576.670349,2141.458740,97.950271,95.657453,264.710988,-150.166214,-567.492737,2248.463623,90.785019,185.602939,272.699652,-255.760498,-573.910645,2138.128174,97.950271,95.657453,264.710988,-308.537720,-570.716187,2251.518799,269.214981,174.397061,92.699652
2020-04-16_22-52-44,1,1790966,380.601807,-111.429451,-5433.571289,257.534946,204.595113,79.188296,-175.186142,-108.943390,2153.177734,258.062231,198.411546,80.624644,-196.316422,-236.914749,2196.359863,254.851287,195.331437,81.507575,-226.151932,-435.133820,2252.218018,255.307802,186.440907,83.917200,-190.316696,-404.754639,2252.141113,282.357937,184.794222,188.090015,-55.139080,-385.540070,2263.592529,268.388385,151.296246,223.083452,114.536644,-226.852310,2136.382324,265.351199,107.720257,226.738365,160.907990,-177.578186,1924.625366,47.960273,176.934389,173.157486,251.192902,-196.591629,1922.321655,22.226111,136.249673,229.817560,299.463806,-139.435226,1850.703369,22.226111,136.249673,229.817560,256.180328,-135.904846,1838.927002,287.805050,154.068706,220.761386,-252.468521,-399.422821,2235.733398,95.566377,197.741327,161.521875,-366.333435,-361.372498,2197.323730,24.699875,203.653641,91.830391,-374.229370,-114.294632,2089.047119,355.808226,213.445024,35.353446,-221.025482,-5.605608,1964.976196,271.625858,208.602018,46.074305,-161.965973,62.785805,1923.624756,271.851108,219.541918,46.474563,-107.902374,119.706261,1858.814941,271.851108,219.541918,46.474563,-151.098831,58.822422,1908.842896,194.117671,195.658378,12.362307,-60.387375,34.355564,2096.924316,263.168989,239.813309,84.572564,-42.138489,226.427063,1765.248901,266.561279,174.401671,90.824139,-47.387928,591.348083,1801.022705,245.186831,173.477336,93.786929,4.576515,717.531311,1684.322144,165.843633,116.135551,196.383873,-222.592926,50.131573,2064.305176,101.637944,122.536011,256.466825,-174.352570,250.556046,1741.165405,96.281218,186.545740,267.029244,-155.272781,618.211182,1783.408569,98.531916,188.587458,267.601021,-131.256348,734.517029,1668.567383,226.271709,258.719730,43.249895,-234.396088,-512.496155,2261.000977,259.828535,179.845697,85.170958,-217.660004,-563.051086,2116.484375,259.828535,179.845697,85.170958,-202.996994,-596.360596,2155.899414,179.126306,100.172604,176.030905,-163.374161,-582.939697,2269.978027,100.171461,180.154299,265.170938,-250.869095,-587.499634,2144.025146,179.126306,100.172604,176.030905,-319.670624,-565.121704,2246.669434,259.828535,179.845697,85.170958
2020-04-16_22-52-44,1,1857655,398.832275,-111.064949,-5722.784180,260.370556,204.796792,78.956017,-176.967865,-112.793045,2177.959961,260.925331,195.679221,80.554585,-198.906525,-244.659088,2215.489502,254.960051,192.596524,80.998825,-231.381790,-448.153564,2262.444580,255.298895,183.703975,83.381408,-194.702469,-417.674835,2264.020752,280.058789,184.227401,188.849430,-57.569355,-396.324371,2274.279053,265.148538,150.809236,226.763863,103.306862,-225.225067,2143.073730,260.326917,116.066162,233.098496,162.878998,-145.886780,1940.249878,65.705011,165.094648,154.878600,242.728836,-191.110641,1921.114502,7.170584,113.623494,230.436771,269.576996,-158.614334,1824.739014,7.170584,113.623494,230.436771,222.755157,-134.004135,1822.194336,271.774130,131.721029,219.279237,-257.680908,-410.878357,2247.302734,92.186216,198.114988,158.016044,-370.512909,-365.328003,2207.496582,27.298820,202.636323,87.355289,-358.839172,-112.604942,2101.997803,3.231268,214.766919,39.722391,-214.370255,7.430807,1971.613892,254.435196,207.234410,49.157085,-159.499420,81.347107,1930.225464,247.022983,232.325070,37.870015,-109.614265,120.139702,1848.388916,247.022983,232.325070,37.870015,-140.604675,70.922264,1927.386230,187.119650,182.289055,16.500963,-59.463554,30.158197,2116.308838,261.455402,242.849392,83.580993,-39.580868,206.886963,1769.527588,266.112422,176.706987,91.423087,-48.815559,578.614319,1790.922363,244.259219,175.227818,94.748993,4.235666,704.070251,1669.651123,170.092939,116.719707,193.448998,-225.080444,50.416473,2090.674805,106.507494,119.622312,252.626054,-167.620667,234.063507,1752.250488,98.101067,183.531574,267.568783,-151.685196,609.385742,1775.434570,100.410420,189.173000,268.868831,-125.538589,729.012512,1660.715210,222.217335,256.969686,40.263602,-240.528320,-526.980652,2267.581787,258.372978,174.800855,87.030236,-217.483688,-564.912903,2117.579834,258.372978,174.800855,87.030236,-202.702316,-601.620056,2155.038086,155.701565,102.721896,200.798964,-166.408127,-596.864075,2272.896729,101.627019,185.199155,267.030249,-251.209381,-593.066162,2142.212158,155.701565,102.721896,200.798964,-324.880280,-581.533386,2245.692871,258.372978,174.800855,87.030236
2020-04-16_22-52-44,1,1924311,397.075409,-126.702286,-5633.156738,260.755546,203.633535,79.339508,-177.926834,-106.970192,2177.607178,261.241908,194.856053,80.810701,-199.231079,-238.656387,2212.998535,255.841484,191.998660,81.171604,-230.960846,-441.497375,2257.535400,256.136732,183.071841,83.415956,-194.473694,-411.230347,2259.002197,279.095335,184.578466,188.253663,-58.014793,-391.435883,2270.044434,265.054468,153.758860,227.275611,104.713814,-215.239258,2151.811768,261.218100,120.428664,232.672063,173.639542,-124.852852,1958.291016,72.029907,175.869443,164.920448,261.723969,-155.224411,1957.347534,42.512546,114.674047,208.329894,300.144989,-134.510971,1862.334717,42.512546,114.674047,208.329894,226.008789,-99.550346,1848.238770,262.791873,132.183152,238.756028,-257.286133,-404.254059,2243.301270,91.791680,195.130898,157.926149,-371.126587,-358.088776,2210.084229,28.201859,200.809655,86.300026,-354.691071,-103.930740,2113.287842,7.385518,213.830353,42.931286,-216.460510,24.661659,1986.755615,179.522834,222.754406,44.278060,-171.165756,78.283806,1915.072021,175.352473,222.551734,38.126281,-111.607674,125.027405,1845.569946,175.352473,222.551734,38.126281,-141.551559,80.217453,1945.520264,125.873641,172.521692,47.260526,-61.822189,36.845039,2119.085938,262.805910,241.138900,84.695191,-44.534546,223.030594,1779.816162,266.540668,179.261955,91.051890,-51.330414,593.158936,1784.584839,243.528518,177.103685,94.900732,3.066029,714.106079,1660.992432,174.390132,117.223253,189.721670,-226.579147,56.862553,2094.391113,101.564552,120.585807,255.555412,-177.463501,247.539185,1761.261719,95.874245,182.939869,265.841779,-150.371689,620.179321,1780.449219,97.638935,189.450764,266.916945,-126.690582,739.190369,1666.023071,232.555261,258.651009,48.867461,-240.011139,-519.907959,2261.771240,260.519901,178.867524,78.135005,-230.702072,-569.821350,2114.802979,260.519901,178.867524,78.135005,-219.797455,-605.764832,2153.824219,173.156074,99.546847,174.885016,-177.482651,-599.419739,2268.791504,99.480099,181.132476,258.135005,-266.767181,-590.748962,2142.511475,173.156074,99.546847,174.885016,-332.076935,-561.826538,2247.259033,260.519901,178.867524,78.135005
2020-04-16_22-52-44,1,1990988,390.160034,-125.150543,-5558.066895,260.971387,202.755728,79.487222,-176.773071,-107.844147,2171.183838,261.408885,194.363103,80.858017,-197.975540,-239.591553,2205.360840,255.439984,193.460961,80.799622,-230.772491,-440.649048,2255.026123,255.802781,184.548556,83.110269,-194.209015,-410.590942,2255.798584,280.470540,186.217602,187.575152,-58.154629,-392.497467,2270.751709,263.361578,155.155574,226.602295,108.245956,-216.519775,2158.615234,260.779451,130.896291,230.798382,200.939209,-102.873169,1989.290039,32.328790,164.349722,159.275454,281.382019,-142.494522,1964.629028,358.390441,144.487347,228.958707,337.158752,-78.424103,1904.008423,358.390441,144.487347,228.958707,298.108795,-90.776268,1887.970581,282.202731,148.018458,196.144670,-256.823700,-403.734436,2239.773438,93.282791,193.309959,158.391013,-371.738708,-358.215515,2210.532715,30.352256,200.200515,86.394466,-355.689026,-103.505463,2116.629150,8.766064,214.972448,41.979353,-217.508347,20.822823,1986.607666,164.441495,219.389509,46.565172,-171.205383,77.248970,1918.056885,161.748886,218.374527,42.277046,-111.703712,131.347733,1854.376221,161.748886,218.374527,42.277046,-130.929428,74.398315,1971.325928,91.045365,158.906978,51.256605,-61.081596,36.722748,2114.967285,263.628545,240.548281,85.448567,-45.995667,226.233292,1778.287354,266.875798,177.608931,91.136586,-53.318909,595.353394,1793.703613,242.977178,176.567818,94.550387,2.857428,716.941223,1672.058594,173.344779,117.820643,190.267957,-225.560242,56.905666,2090.731689,99.771802,121.381813,256.811261,-179.671707,252.725662,1761.000854,95.104958,185.402358,265.650782,-151.480438,623.398071,1796.156372,97.234968,190.443941,266.536606,-127.868561,744.057983,1683.927612,237.037950,258.078115,52.947608,-240.206711,-518.726379,2261.282715,260.641204,179.389390,80.437131,-229.447617,-569.394897,2114.987549,260.641204,179.389390,80.437131,-216.989731,-604.465881,2154.193604,176.250286,99.378528,174.136862,-174.631714,-595.450806,2268.716064,99.358796,180.610610,260.437124,-264.474854,-591.472656,2142.960693,176.250286,99.378528,174.136862,-330.391266,-564.347107,2247.516113,260.641204,179.389390,80.437131
2020-04-16_22-52-45,1,2057633,394.518341,-119.653847,-5609.213867,260.842284,203.835110,79.455029,-176.282379,-109.381241,2164.838867,261.237526,197.132221,80.582523,-197.845810,-239.383545,2205.466797,255.351200,194.305950,79.757866,-234.199402,-439.285583,2258.187500,255.750665,185.396333,82.085291,-197.065536,-409.843628,2258.483643,280.498923,186.671137,182.859719,-59.958084,-402.994690,2274.540039,261.029001,152.086022,232.666223,83.224388,-215.270569,2149.459717,254.035956,120.066100,242.344985,135.370651,-115.757011,1955.383911,65.484150,160.752887,149.384051,208.530457,-167.205933,1929.528442,342.092010,114.311546,250.358412,222.988068,-126.697319,1834.320190,342.092010,114.311546,250.358412,235.038757,-154.428482,1872.380249,326.022336,155.821369,178.145495,-259.634308,-402.101868,2242.395996,94.744911,196.080237,159.900706,-374.370270,-360.116089,2207.177490,30.025827,202.196811,87.029336,-361.307220,-108.392296,2104.328857,5.711721,216.328214,39.783946,-220.716843,8.676455,1969.800049,155.116476,215.556218,49.833897,-174.194717,70.010323,1905.591675,152.512477,213.701860,45.253752,-114.053711,130.686401,1848.612061,152.512477,213.701860,45.253752,-127.164948,68.709267,1947.313354,68.331500,166.965214,56.101000,-60.594006,34.289707,2105.672852,264.553863,240.198994,85.855965,-46.692757,226.154282,1769.793823,267.284708,173.386453,90.902319,-52.479328,593.562683,1812.397827,245.463263,172.580150,93.850625,-0.958476,722.726807,1696.336670,163.715356,116.079286,198.392284,-225.292053,53.980412,2081.265625,101.825850,120.875108,255.392348,-175.251678,245.982941,1749.409302,96.082852,186.071184,266.219447,-150.742889,616.884338,1788.944580,97.190642,193.508186,267.281280,-128.503052,743.804810,1683.264038,243.941158,255.447538,60.423494,-245.026581,-517.165894,2265.615234,254.152376,173.223213,87.856204,-210.852829,-551.051575,2117.894043,254.152376,173.223213,87.856204,-198.698273,-588.321045,2155.202148,156.483524,107.201564,200.428375,-171.480835,-586.251587,2274.694092,105.847632,186.776784,267.856201,-245.858658,-579.796814,2139.120361,156.483524,107.201564,200.428375,-326.542084,-571.284912,2236.409180,254.152376,173.223213,87.856204
2020-04-16_22-52-45,1,2124322,394.481171,-119.627937,-5609.209473,260.841269,203.838306,79.456354,-176.264099,-109.395996,2164.826416,261.236188,197.144627,80.582512,-197.827225,-239.396255,2205.484863,255.342757,194.333768,79.752164,-234.198105,-439.279602,2258.306885,255.743582,185.424455,82.081015,-197.060501,-409.838348,2258.590332,280.523866,186.690909,182.841590,-59.949459,-403.032745,2274.694824,261.070706,152.055142,232.561232,83.543076,-215.615295,2149.480713,254.027019,119.885925,242.287757,135.507233,-116.689629,1955.042847,65.848850,160.939860,149.197499,208.603729,-168.402176,1929.519409,343.075868,113.842312,249.267908,223.553879,-128.904617,1833.957153,343.075868,113.842312,249.267908,235.123825,-155.759445,1872.196533,326.276888,155.793072,178.072935,-259.631104,-402.100372,2242.494629,94.772990,196.097735,159.908271,-374.368347,-360.131287,2207.236572,29.994890,202.250900,87.028211,-361.304718,-108.491989,2104.144775,5.637669,216.343964,39.749982,-220.666245,8.475691,1969.558716,154.999351,215.636588,49.806895,-174.162292,69.708275,1905.232666,152.409710,213.789317,45.261592,-114.087814,130.333817,1848.119751,152.409710,213.789317,45.261592,-127.120987,68.532623,1946.757812,68.319828,167.181790,56.139431,-60.573853,34.282383,2105.649902,264.541548,240.205426,85.848883,-46.650925,226.117523,1769.732178,267.279168,173.399704,90.906284,-52.463448,593.554016,1812.253296,245.466534,172.602908,93.849190,-0.941135,722.677429,1696.132935,163.763630,116.070452,198.347915,-225.280746,53.967686,2081.239258,101.840400,120.870050,255.383739,-175.216446,245.944168,1749.348389,96.089183,186.058697,266.223352,-150.731140,616.874817,1788.804688,97.179714,193.445502,267.275709,-128.508530,743.686035,1682.975830,243.865819,255.508240,60.347506,-245.031128,-517.159546,2265.773438,254.230505,173.297112,87.775624,-211.105148,-551.272095,2118.039062,254.230505,173.297112,87.775624,-198.944077,-588.512451,2155.378418,156.614261,107.101578,200.232048,-171.555084,-586.329041,2274.835693,105.769499,186.702895,267.775638,-246.118729,-579.948914,2139.351318,156.614261,107.101578,200.232048,-326.658997,-571.215637,2236.747559,254.230505,173.297112,87.775624
2020-04-16_22-52-45,1,2190966,389.882355,-116.313286,-5638.201172,260.979738,203.670594,79.141922,-174.937225,-111.513985,2166.576172,261.358124,197.129056,80.225624,-197.406281,-241.938065,2207.370850,255.569895,194.211875,79.104222,-236.216568,-442.352539,2259.983154,255.959559,185.293786,81.397231,-198.560410,-413.247803,2260.222900,280.598952,188.791226,183.429633,-61.630444,-405.041595,2281.437500,266.637578,154.218485,227.271936,102.312180,-227.553284,2164.730713,261.034616,109.809846,234.250830,146.903244,-165.610489,1952.848389,60.310998,155.228658,156.131654,222.850052,-207.384491,1917.787231,333.878062,120.058151,262.230586,229.954468,-155.314468,1826.976685,333.878062,120.058151,262.230586,218.309479,-136.824799,1846.760498,270.904193,146.375689,218.319274,-261.349731,-404.660431,2244.294678,94.613268,195.024588,158.902774,-376.413940,-360.267242,2211.191406,31.342786,201.911425,86.265400,-359.892181,-107.152107,2109.164551,7.256544,216.987016,39.712406,-219.757095,9.241507,1971.955566,148.495462,216.901560,50.544550,-174.242538,69.464279,1905.346313,145.745184,214.423929,45.830048,-114.967041,130.482590,1847.045776,145.745184,214.423929,45.830048,-126.600143,72.882545,1936.967651,65.453038,176.507792,59.204292,-57.923355,32.214085,2107.432373,265.732669,239.890112,86.609027,-46.388840,226.880096,1771.160767,267.860196,175.398623,90.478006,-49.478264,597.170227,1800.963623,247.752887,181.225245,90.450251,4.700050,704.548706,1664.492676,184.029694,112.949707,176.592849,-223.235764,53.131229,2083.254883,102.347708,121.567448,255.409429,-172.027786,249.854446,1752.408569,96.471508,185.706614,266.614106,-149.965820,622.750305,1789.737061,95.528488,184.894215,266.445234,-130.708908,732.839355,1665.158325,222.483223,263.432662,38.701063,-248.030579,-520.443420,2267.301025,259.733700,173.801833,89.853043,-226.669479,-554.417969,2116.521973,259.733700,173.801833,89.853043,-209.186493,-590.864929,2152.850586,148.643538,101.975066,210.652180,-170.512360,-586.306152,2269.623535,100.266292,186.198171,269.853060,-258.231934,-584.628540,2141.319092,148.643538,101.975066,210.652180,-329.750763,-578.751648,2246.370117,259.733700,173.801833,89.853043
